.id,CTY,YRS,GDPX0
INC_SSP1_ref_dt,ALB,2011,25.00242963147
INC_SSP1_ref_dt,ALB,2012,25.4683840894931
INC_SSP1_ref_dt,ALB,2013,25.9430222458668
INC_SSP1_ref_dt,ALB,2014,26.4265059331817
INC_SSP1_ref_dt,ALB,2015,26.9166765791192
INC_SSP1_ref_dt,ALB,2016,27.5887299814758
INC_SSP1_ref_dt,ALB,2017,28.277594877142
INC_SSP1_ref_dt,ALB,2018,28.9836529521647
INC_SSP1_ref_dt,ALB,2019,29.7072747836989
INC_SSP1_ref_dt,ALB,2020,30.4488824324228
INC_SSP1_ref_dt,ALB,2021,31.3308178316275
INC_SSP1_ref_dt,ALB,2022,32.2382511763823
INC_SSP1_ref_dt,ALB,2023,33.1718725921135
INC_SSP1_ref_dt,ALB,2024,34.132432110486
INC_SSP1_ref_dt,ALB,2025,35.1206564814039
INC_SSP1_ref_dt,ALB,2026,36.2295421398652
INC_SSP1_ref_dt,ALB,2027,37.3732018544032
INC_SSP1_ref_dt,ALB,2028,38.5527147244302
INC_SSP1_ref_dt,ALB,2029,39.7690874427514
INC_SSP1_ref_dt,ALB,2030,41.02355015779
INC_SSP1_ref_dt,ALB,2031,42.3333475003475
INC_SSP1_ref_dt,ALB,2032,43.6846123215106
INC_SSP1_ref_dt,ALB,2033,45.0786125078511
INC_SSP1_ref_dt,ALB,2034,46.5166645808876
INC_SSP1_ref_dt,ALB,2035,48.0001950576982
INC_SSP1_ref_dt,ALB,2036,49.4216869197756
INC_SSP1_ref_dt,ALB,2037,50.8844263818516
INC_SSP1_ref_dt,ALB,2038,52.3898803465518
INC_SSP1_ref_dt,ALB,2039,53.9392589647927
INC_SSP1_ref_dt,ALB,2040,55.5343699740006
INC_SSP1_ref_dt,ALB,2041,56.9821726845312
INC_SSP1_ref_dt,ALB,2042,58.4663364035735
INC_SSP1_ref_dt,ALB,2043,59.9884625496437
INC_SSP1_ref_dt,ALB,2044,61.5497217549331
INC_SSP1_ref_dt,ALB,2045,63.151772124652
INC_SSP1_ref_dt,ALB,2046,64.4966364041078
INC_SSP1_ref_dt,ALB,2047,65.8679527750718
INC_SSP1_ref_dt,ALB,2048,67.2677006339947
INC_SSP1_ref_dt,ALB,2049,68.6967263189413
INC_SSP1_ref_dt,ALB,2050,70.1586599378538
INC_SSP1_ref_dt,ARG,2005,419.1333
INC_SSP1_ref_dt,ARG,2006,447.333326735946
INC_SSP1_ref_dt,ARG,2007,477.430700945615
INC_SSP1_ref_dt,ARG,2008,509.553079509255
INC_SSP1_ref_dt,ARG,2009,543.836708286888
INC_SSP1_ref_dt,ARG,2010,580.427
INC_SSP1_ref_dt,ARG,2011,605.31074708627
INC_SSP1_ref_dt,ARG,2012,631.261296490582
INC_SSP1_ref_dt,ARG,2013,658.32438357513
INC_SSP1_ref_dt,ARG,2014,686.547704443402
INC_SSP1_ref_dt,ARG,2015,715.901922203862
INC_SSP1_ref_dt,ARG,2016,742.831134330944
INC_SSP1_ref_dt,ARG,2017,770.771975950426
INC_SSP1_ref_dt,ARG,2018,799.761880249805
INC_SSP1_ref_dt,ARG,2019,829.839765921722
INC_SSP1_ref_dt,ARG,2020,861.048406126099
INC_SSP1_ref_dt,ARG,2021,893.150827631565
INC_SSP1_ref_dt,ARG,2022,926.436616280198
INC_SSP1_ref_dt,ARG,2023,960.95988597336
INC_SSP1_ref_dt,ARG,2024,996.768389634912
INC_SSP1_ref_dt,ARG,2025,1033.92298933812
INC_SSP1_ref_dt,ARG,2026,1071.06027052649
INC_SSP1_ref_dt,ARG,2027,1109.52202078091
INC_SSP1_ref_dt,ARG,2028,1149.35851883049
INC_SSP1_ref_dt,ARG,2029,1190.61952576569
INC_SSP1_ref_dt,ARG,2030,1233.37235709763
INC_SSP1_ref_dt,ARG,2031,1275.26229058402
INC_SSP1_ref_dt,ARG,2032,1318.56411624671
INC_SSP1_ref_dt,ARG,2033,1363.33287587743
INC_SSP1_ref_dt,ARG,2034,1409.61847761013
INC_SSP1_ref_dt,ARG,2035,1457.47465996085
INC_SSP1_ref_dt,ARG,2036,1500.47288322107
INC_SSP1_ref_dt,ARG,2037,1544.70013248323
INC_SSP1_ref_dt,ARG,2038,1590.22544582528
INC_SSP1_ref_dt,ARG,2039,1637.08908644939
INC_SSP1_ref_dt,ARG,2040,1685.36726747305
INC_SSP1_ref_dt,ARG,2041,1726.64143549643
INC_SSP1_ref_dt,ARG,2042,1768.86545470636
INC_SSP1_ref_dt,ARG,2043,1812.11300374912
INC_SSP1_ref_dt,ARG,2044,1856.419870485
INC_SSP1_ref_dt,ARG,2045,1901.8556364433
INC_SSP1_ref_dt,ARG,2046,1940.62068143758
INC_SSP1_ref_dt,ARG,2047,1980.08995586474
INC_SSP1_ref_dt,ARG,2048,2020.35627485328
INC_SSP1_ref_dt,ARG,2049,2061.44910292845
INC_SSP1_ref_dt,ARG,2050,2103.4466939589
INC_SSP1_ref_dt,ARM,2005,12.60333
INC_SSP1_ref_dt,ARM,2006,13.0763931930245
INC_SSP1_ref_dt,ARM,2007,13.5672127079571
INC_SSP1_ref_dt,ARM,2008,14.076455024398
INC_SSP1_ref_dt,ARM,2009,14.604811638111
INC_SSP1_ref_dt,ARM,2010,15.153
INC_SSP1_ref_dt,ARM,2011,15.7097559629211
INC_SSP1_ref_dt,ARM,2012,16.2869684164544
INC_SSP1_ref_dt,ARM,2013,16.885388978968
INC_SSP1_ref_dt,ARM,2014,17.5057968850118
INC_SSP1_ref_dt,ARM,2015,18.1666866982145
INC_SSP1_ref_dt,ARM,2016,18.796618387929
INC_SSP1_ref_dt,ARM,2017,19.448007307193
INC_SSP1_ref_dt,ARM,2018,20.121562226939
